genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
"Drama, History",en,US,1995-12-22,192,Nixon,"Cinergi Pictures Entertainment, Hollywood Pictures",1995,1990-2000
"Romance, Comedy, Drama, Fantasy",fr,FR,2005-12-21,91,Angel-A,"TF1 Films Production, EuropaCorp, Sony Pictures Classics",2005,2000-2010
"Comedy, Family, Romance",en,US,2001-08-03,115,The Princess Diaries,"Bottom of the Ninth Productions, Walt Disney Pictures, BrownHouse Productions",2001,2000-2010
Drama,en,"GB, DE",1970-09-01,88,Deep End,"Maran Film, Kettledrum-Lownes Productions",1970,1970-1990
"Fantasy, Action, Adventure",en,US,2020-02-04,97,Dragonheart: Vengeance,Universal Pictures,2020,>2010
Comedy,fr,FR,1895-06-10,1,The Sprinkler Sprinkled,"Lumière, Société des Etablissements L. Gaumont",1895,<1950
"Comedy, Fantasy, Romance",en,US,1991-03-22,112,Defending Your Life,Geffen Pictures,1991,1990-2000
"Drama, History, Action",en,"HK, MO, US",1993-05-07,120,Dragon: The Bruce Lee Story,"Raffaella De Laurentiis Productions, Universal Pictures",1993,1990-2000
"Action, Thriller",en,"CN, IN, GB, US",2017-09-28,113,The Foreigner,"Sparkle Roll Media, STX Entertainment, Arthur Sarkissian Productions, The Entertainer Production Company, Orange Corp, Wanda Media Co., Huayi Brothers Pictures, Prosperity Pictures",2017,>2010
"Action, Drama, Thriller",ko,KR,2009-06-06,120,Tidal Wave,"Polygon Entertainment, CJ Entertainment, JK Film",2009,2000-2010
"Adventure, Drama, War",en,US,1957-03-13,108,"Heaven Knows, Mr. Allison",20th Century Fox,1957,1950-1970
"Action, Science Fiction",en,"US, DE",2004-07-15,115,"I, Robot","Davis Entertainment, Laurence Mark Productions, Canlaws Productions, 20th Century Fox, Overbrook Entertainment, Mediastream Vierte Film GmbH & Co. Vermarktungs KG",2004,2000-2010
Drama,en,"IT, GB",1999-06-11,98,The War Zone,"Channel Four Films, Portobello Pictures, Fandango, Mikado Film",1999,1990-2000
"Comedy, Crime, Drama, Thriller",fr,"BE, FR, ES",2005-03-02,122,The Ax,"K.G Productions, StudioCanal, France 2 Cinéma, Les Films du Fleuve, RTBF, SCOPE Pictures, Wanda Visión",2005,2000-2010
"Adventure, Animation, Family, Romance",en,US,1995-06-14,81,Pocahontas,"Walt Disney Pictures, Walt Disney Feature Animation",1995,1990-2000
"Drama, Thriller, Crime",en,GB,2004-09-30,105,Layer Cake,Marv Films,2004,2000-2010
"Drama, Crime",fr,FR,2015-01-07,120,SK1,"Labyrinthe Films, Cinéfrance 1888",2015,>2010
Drama,en,"FR, IE, CH, GB, US",2018-11-15,111,At Eternity's Gate,"Iconoclast, Riverstone Pictures, Rahway Road Productions, CBS Films",2018,>2010
Adventure,fr,FR,2013-12-18,104,Belle and Sebastian,"Radar Films, Epithète Films, Gaumont, M6 Films, OCS, M6, W9, CNC, Région Auvergne-Rhône-Alpes, Auvergne-Rhône-Alpes Cinéma",2013,>2010
"Action, Adventure, Comedy",en,US,1977-05-26,96,Smokey and the Bandit,Universal Pictures,1977,1970-1990
"Drama, Romance, Comedy",en,"GB, US",1955-01-01,100,Summertime,"London Films Productions, United Artists",1955,1950-1970
"Drama, Science Fiction",en,US,1985-12-12,108,Enemy Mine,"Bavaria Film, SLM Production Group, Kings Road Entertainment, 20th Century Fox",1985,1970-1990
"Drama, History",es,"ES, VE",2013-09-09,119,The Liberator,"WMG Film, Producciones Insurgentes, San Mateo Films",2013,>2010
"Fantasy, Animation, Science Fiction",ja,JP,2006-12-16,87,Bleach the Movie: Memories of Nobody,"TOHO, Sound Box, Pierrot",2006,2000-2010
"Music, Drama",en,US,2013-09-21,110,Battle of the Year,Screen Gems,2013,>2010
"Crime, Drama, Thriller, Action",ko,KR,2020-09-03,131,Night in Paradise,"Next Entertainment World, Peppermint&company, Goldmoon Film",2020,>2010
"History, Drama",fr,"BE, FR",2021-09-08,112,Delicious,"Nord-Ouest Films, SND, France 3 Cinéma, Région Auvergne-Rhône-Alpes, Artémis Productions, RTBF, VOO, BeTV, Shelter Prod",2021,>2010
"Comedy, Romance",pl,PL,2011-11-11,116,Letters to Santa,TVN,2011,>2010
Action,en,US,2021-01-15,108,The Marksman,"Sculptor Media, Zero Gravity Management, Cutting Edge Group, Stonehouse Motion Pictures, Voltage Pictures",2021,>2010
"Animation, Drama, Family",en,US,2012-07-12,5,"Maggie Simpson in ""The Longest Daycare""","Gracie Films, 20th Century Fox",2012,>2010
Drama,ko,KR,2004-03-05,95,Samaritan Girl,"Kim Ki Duk Film, Show East",2004,2000-2010
"Science Fiction, Drama, Action",ru,RU,2020-01-01,129,Invasion,"Cinema Fund, Art Pictures Studio, Vodorod Film Company",2020,>2010
"Drama, Comedy",fi,"FI, LV",2019-11-01,105,Dogs Don't Wear Pants,"Helsinki Filmi, Tasse Film",2019,>2010
Drama,de,DE,2018-05-24,125,In the Aisles,"Departures Film, Rotor Film Babelsberg, ARD, Sommerhaus Filmproduktion",2018,>2010
Horror,en,"AU, GB",2009-10-16,99,Triangle,"Dan Films, Pictures in Paradise",2009,2000-2010
"Comedy, Drama, Fantasy",ja,"KR, DE, JP, FR",2008-08-16,112,Tokyo!,"ARTE France Cinéma, Wild Bunch, Bitters End, Backup Media, Comme des Cinémas, WDR/Arte, Hakuhodo DY Media Partners, Coin Film, Kansai Television, Sponge Ent., VAP, Champion Top Investment, Asahi Broadcasting Company, Picnic, WOWOW",2008,2000-2010
"Comedy, Drama, Romance, Fantasy, Adventure",en,"SE, US",2016-06-24,97,Swiss Army Man,"BlackBird, Tadmor, Astrakan Films AB, Cold Iron Pictures, Prettybird, A24",2016,>2010
Drama,it,IT,2007-02-23,110,Saturn in Opposition,Medusa Film,2007,2000-2010
"Drama, Romance",en,GB,2009-10-29,100,An Education,"BBC Film, Wildgaze Films, Endgame Entertainment",2009,2000-2010
Drama,fr,"BE, FR",2019-02-06,110,Conviction,"Delante Films, uMedia, CNC",2019,>2010
"Drama, History",es,"FR, MX, ES",2011-01-05,104,Even the Rain,"Vaca Films, Morena Films, Alebrije Producciones, Mandarin Cinéma",2011,>2010
"Crime, Mystery, Thriller",en,US,2002-05-24,118,Insomnia,"Warner Bros. Pictures, Buena Vista International, Touchstone Pictures, Summit Entertainment, Alcon Entertainment, Witt/Thomas Productions, Section Eight",2002,2000-2010
"Drama, Comedy, Romance, Fantasy",en,US,2005-09-16,95,Just Like Heaven,"MacDonald/Parkes Productions, DreamWorks Pictures, United International Pictures",2005,2000-2010
"Action, Adventure, Science Fiction",en,US,2013-04-18,130,Iron Man 3,Marvel Studios,2013,>2010
"Drama, Romance",en,"FR, IT, GB, US",1996-02-09,112,Jane Eyre,"Miramax, Cineritino S.r.L., Mediaset, RCS Editori S.p.A., Flach Film",1996,1990-2000
"Family, Animation",en,US,1972-09-08,81,"Snoopy, Come Home","Cinema Center Films, Lee Mendelson Film Productions, Bill Melendez Productions, Charles M. Schulz Creative Associates, United Feature Syndicate (UFS)",1972,1970-1990
"Drama, Thriller",en,US,2008-12-19,108,Nothing But the Truth,"Battleplan Productions, Yari Film Group",2008,2000-2010
"Crime, Drama, Thriller",en,US,2017-07-13,121,Shot Caller,"DirecTV, Bold Films, Participant, Relativity Media",2017,>2010
Comedy,pt,BR,2006-09-27,112,Drained,"Tristero Filmes, Primo Filmes, Branca Filmes, Geração Conteúdo, RT Features",2006,2000-2010
"Action, Thriller",en,US,2020-08-25,105,One Night in Bangkok,Grindstone Entertainment Group,2020,>2010
"Romance, Comedy, Crime, Fantasy",en,US,1994-07-29,101,The Mask,"Dark Horse Entertainment, New Line Cinema",1994,1990-2000
"Action, Comedy",it,IT,1984-10-19,99,Double Trouble,Trans-Cinema TV,1984,1970-1990
"Comedy, Drama, Mystery, Romance",en,"FR, US",2005-08-05,106,Broken Flowers,"Focus Features, Bac Films, Five Roses",2005,2000-2010
Horror,en,US,2022-10-06,138,Terrifier 2,"Dark Age Cinema, Fuzz on the Lens Productions, Bloody Disgusting",2022,>2010
"Adventure, Comedy, Family, Fantasy, TV Movie, Horror",en,CA,2010-10-09,80,My Babysitter's a Vampire,Fresh TV,2010,>2010
"Comedy, Romance, Science Fiction",en,US,1973-12-17,87,Sleeper,"Rollins-Joffe Productions, United Artists",1973,1970-1990
"Science Fiction, Animation, Action",en,US,2012-06-12,76,Superman vs. The Elite,"DC Comics, Warner Premiere, Warner Bros. Animation, DC Entertainment",2012,>2010
"Crime, Mystery, Thriller",fr,FR,2000-09-27,106,The Crimson Rivers,"Gaumont, Légende Films, TF1 Films Production, Canal+",2000,2000-2010
"Drama, Thriller",fr,FR,2017-08-30,90,Bloody Milk,Domino Films,2017,>2010
"Drama, War, Romance",fr,"DE, FR, IT",1974-01-30,138,"Lacombe, Lucien","Hallelujah-Film GmbH, Nouvelles Éditions de Films (NEF), Vides Cinematografica",1974,1970-1990
"Crime, Drama",fr,"FR, CH",1983-05-16,85,L'Argent,"""Marions Films"", Eôs Films, France 3 Cinéma",1983,1970-1990
"Science Fiction, Comedy, Drama, Crime",en,US,2012-08-16,85,Robot & Frank,"Park Pictures Features, TBB, Dog Run Pictures, White Hat Entertainment, Samuel Goldwyn Films, Stage 6 Films",2012,>2010
"Drama, Comedy, Romance",en,AU,2020-06-15,118,Babyteeth,"Create NSW, Whitefalk Films, Screen Australia, Jan Chapman Films, Spectrum Films, WeirAnderson.com",2020,>2010
"Drama, Comedy",fr,"BE, FR",2018-10-24,122,Sink or Swim,"Chi-Fou-Mi Productions, Les Productions du Trésor",2018,>2010
"Drama, Romance, Comedy",en,US,2012-05-02,95,The Sessions,"Such Much Films, Rhino Films",2012,>2010
"Comedy, War",fr,FR,1983-10-26,102,Gramps Is in the Resistance,Les Films Christian Fechner,1983,1970-1990
"Action, Western",it,IT,1976-11-25,100,Keoma,Uranos Cinematografica,1976,1970-1990
Drama,da,"DK, FR, DE, IT, NL, SE, GB, US",2005-05-16,139,Manderlay,"YLE, Zentropa Entertainments, DR, ARTE, Memfis Film, Isabella Films BV, Degeto Film, Ognon Pictures, Alan Young Pictures, Nederlandse Programma Stichting (NPS), Canal+ Television, Invicta Capital, Edith Film Oy, Pain Unlimited GmbH Filmproduktion, Sigma Films, Manderlay, Canal+, ARTE France Cinéma, SVT, Film i Väst, WDR",2005,2000-2010
"Family, Animation",en,US,2014-02-15,73,Barbie: The Pearl Princess,,2014,>2010
"Drama, Crime",en,US,1997-02-28,102,Hard Eight,"Trinity Filmed Entertainment, Rysher Entertainment, Green Parrot, Samuel Goldwyn Company",1997,1990-2000
"Music, Drama, Romance",en,US,2012-07-26,99,Step Up Revolution,Summit Entertainment,2012,>2010
"Action, Crime, Thriller",en,"FR, DE, HK, JP, US",2001-11-18,126,Spy Game,"Universal Pictures, TOHO-TOWA, Beacon Communications, Kalima Productions GmbH & Co. KG, Red Wagon Productions, Metropolitan Films, October Pictures",2001,2000-2010
"Drama, Action",hi,IN,2016-07-06,170,Sultan,Yash Raj Films,2016,>2010
Comedy,en,US,2015-03-30,85,Comedy Central Roast of Justin Bieber,"Tenth Planet Productions, Comedy Central",2015,>2010
"Horror, Mystery, Science Fiction",en,"US, JP",2022-07-20,130,Nope,"Monkeypaw Productions, Universal Pictures, dentsu",2022,>2010
Drama,en,"CA, GB, US",2019-03-13,127,The Death & Life of John F. Donovan,"Sons of Manual, Lyla Films, Warp Films",2019,>2010
"Fantasy, Horror, Mystery, Romance",en,US,1944-02-18,99,The Uninvited,Paramount,1944,<1950
"Crime, Drama, Thriller",en,US,1986-04-18,111,At Close Range,"Hemdale Film Corporation, Cinema 84",1986,1970-1990
"Action, Adventure, Science Fiction",en,US,2014-03-14,139,Divergent,"Summit Entertainment, Red Wagon Entertainment",2014,>2010
"Action, Adventure, Comedy, Fantasy, Family",en,"IT, GB",1988-12-07,126,The Adventures of Baron Munchausen,"Allied Filmmakers, Laura Films, Prominent Features, Columbia Pictures",1988,1970-1990
"Animation, Action, Thriller, Science Fiction",en,US,2006-10-16,22,Transformers: Beginnings,DreamWorks Home Entertainment,2006,2000-2010
"Comedy, Music",en,US,1930-08-08,97,Animal Crackers,Paramount,1930,<1950
"Drama, History, Romance",hi,IN,2018-01-25,164,Padmaavat,"Bhansali Productions, Viacom18 Studios",2018,>2010
"Western, Drama, History",en,US,2017-12-22,134,Hostiles,"Entertainment Studios Motion Pictures, Waypoint Entertainment, Le Grisbi Productions, Bloom",2017,>2010
Comedy,en,US,1980-12-18,110,Nine to Five,"IPC Films, 20th Century Fox",1980,1970-1990
Comedy,it,IT,2011-04-01,108,Boris - Il film,"RAI Cinema, Wildside, Sky Cinema",2011,>2010
"Drama, Thriller",es,ES,2015-03-15,76,The Corpse of Anna Fritz,"Cine de Garage, A Contraluz Films, Benecé Produccions",2015,>2010
"Horror, Thriller",en,CA,1988-11-25,103,Pin,"Malofilm Communications Inc., Image Organization, Lance Entertainment",1988,1970-1990
"Fantasy, Adventure, Animation, Comedy, Family, Music",en,US,1987-07-09,90,The Brave Little Toaster,"The Kushner-Locke Company, Hyperion Pictures, Walt Disney Pictures",1987,1970-1990
"Romance, Comedy, Drama",en,US,2014-08-08,92,The One I Love,"RADiUS-TWC, Duplass Brothers Productions",2014,>2010
"Drama, War, History, Adventure, Romance",en,"US, GB, RO, IT",2003-12-24,154,Cold Mountain,"Miramax, Mirage Enterprises, Bona Fide Productions, Castel Film, Cattleya",2003,2000-2010
Thriller,en,US,1987-08-14,114,No Way Out,Orion Pictures,1987,1970-1990
"Crime, Drama, Romance, Thriller",en,US,1968-06-26,102,The Thomas Crown Affair,"The Mirisch Company, Solar Productions, Simkoe",1968,1950-1970
"Crime, Thriller",ko,KR,2012-02-02,133,Nameless Gangster,"Palette Pictures, Showbox",2012,>2010
Drama,en,US,2004-10-08,118,Friday Night Lights,"Imagine Entertainment, Friday Night Lights, MDBF Filmgesellschaft mbH & Company KG, Universal Pictures",2004,2000-2010
"Animation, Adventure, Comedy, Family",en,US,2006-06-08,117,Cars,"Pixar, Walt Disney Pictures",2006,2000-2010
"Crime, Drama, Mystery, Thriller",en,US,1944-05-19,86,Ministry of Fear,Paramount,1944,<1950
"Adventure, Fantasy, Drama, Action",en,"CN, US",2020-09-04,115,Mulan,"Walt Disney Pictures, China Film Group Corporation, Good Fear, Jason T. Reed Productions",2020,>2010
"Horror, Mystery, Thriller",en,CA,1974-10-11,98,Black Christmas,"August Films, Film Funding Ltd. of Canada, Vision IV, Canadian Film Development Corporation (CFDC), Famous Players",1974,1970-1990
"Drama, History",en,"JP, RS, AE, GB, US",2020-03-13,115,Minamata,"Metalwork Pictures, Infinitum Nihil, Head Gear Films, Kreo Films FZ, Metrol Technology, Work in Progress",2020,>2010
"Romance, Comedy, Drama",it,"IT, FR, DE, US",1986-01-13,125,Ginger and Fred,"Metro-Goldwyn-Mayer, PEA, Revcom Films, Les Films Ariane, FR3 Films Production, Stella Film, Anthea, RAI",1986,1970-1990
"Action, Crime, Drama",ja,JP,2010-05-17,109,Outrage,Tokyo FM,2010,>2010
"Comedy, Romance",en,"FR, DE, GB, US",2008-02-08,112,"Definitely, Maybe","Ringerike Erste Filmproduktion, Universal Pictures, StudioCanal, Working Title Films",2008,2000-2010
"Comedy, Drama",en,GB,1957-09-12,104,A King in New York,Charles Chaplin Productions,1957,1950-1970
"Action, Crime, Thriller",cn,"CN, HK",2021-07-28,128,Raging Fire,"Tencent Pictures, Super Bullet Pictures, Emperor Film Production",2021,>2010
Drama,hi,IN,2004-04-30,179,Main Hoon Na,"Red Chillies Entertainment, Venus Films",2004,2000-2010
Drama,en,"GB, US",2019-09-06,98,Blackbird,"Millennium Films, Busted Shark Productions, Eclectic Pictures, SF Studios",2019,>2010
"Animation, Action, Adventure, Crime, Fantasy",en,US,2021-01-12,83,Batman: Soul of the Dragon,"Warner Bros. Animation, DC Entertainment, Warner Bros. Home Entertainment Group",2021,>2010
"Animation, Comedy, Family",en,US,2013-06-26,98,Despicable Me 2,"Illumination, Universal Pictures",2013,>2010
"Action, Comedy, Adventure",zh,"CN, HK",2010-02-14,96,Little Big Soldier,Bona Entertainment,2010,>2010
"Family, Animation, Adventure, Comedy, Fantasy, Action",en,US,2003-07-02,90,Sinbad: Legend of the Seven Seas,"DreamWorks Animation, DreamWorks Pictures",2003,2000-2010
"Horror, Mystery, Thriller",en,US,2022-09-08,103,Barbarian,"BoulderLight Pictures, Vertigo Entertainment, Regency Enterprises, Hammerstone Studios, Almost Never Films, 20th Century Studios",2022,>2010
"Horror, Thriller, Drama",es,ES,2014-09-21,91,Shrew's Nest,"Canal+ España, Pokeepsie Films, Nadie es Perfecto, ICAA",2014,>2010
"Action, Animation, Science Fiction",ja,JP,2011-12-17,20,Dragon Ball: Episode of Bardock,Toei Animation,2011,>2010
"Thriller, Drama",ko,KR,2014-08-13,111,Sea Fog,"Lewis Pictures, Next Entertainment World, Finecut",2014,>2010
"Adventure, Drama",en,AU,2013-12-19,112,Tracks,"Screen Australia, See-Saw Films",2013,>2010
"Drama, Thriller",fr,FR,2008-12-03,96,Anything for Her,"Fidélité Films, Wild Bunch, Jerico, TPS Star, TF1 Films Production",2008,2000-2010
"Drama, Romance",zh,"FR, TW",2001-10-31,101,Millennium Mambo,"Paradis Films, Orly Films, Sinomovie",2001,2000-2010
"War, Drama, Thriller, History",en,"IE, GB, US",1996-10-25,132,Michael Collins,"Geffen Pictures, Warner Bros. Pictures",1996,1990-2000
"Animation, Adventure, Family, Action, Comedy, Science Fiction",en,US,2005-04-08,71,Kim Possible: So the Drama,Disney Television Animation,2005,2000-2010
"Drama, History, Romance",en,US,2003-12-19,117,Mona Lisa Smile,"Columbia Pictures, Revolution Studios, Red Om Films",2003,2000-2010
"Drama, Fantasy",en,US,2017-06-15,91,The Keeping Hours,Blumhouse Productions,2017,>2010
"Romance, Drama, Family, TV Movie",en,"CA, US",2014-11-23,90,The Christmas Secret,"Lighthouse Pictures, Craig Anderson Productions, Beth Grossbard Productions, Hallmark Media, Storybox Entertainment",2014,>2010
"Mystery, Action, Animation",ja,JP,2012-04-14,110,Detective Conan: The Eleventh Striker,"TMS Entertainment, TOHO",2012,>2010
"Comedy, Horror",en,US,2020-10-02,102,Spontaneous,"Awesomeness Films, Jurassic Party Productions",2020,>2010
"Drama, History",en,GB,2022-01-06,129,Munich: The Edge of War,"Turbine Studios, Euston Films, FremantleMedia",2022,>2010
"Family, Animation, Comedy, Adventure",fr,FR,2018-05-12,85,Asterix: The Secret of the Magic Potion,"M6 Studio, M6 Films, Canal+, CNC, Les Éditions Albert René, Mikros Image, OCS, La Région Île-de-France, W9",2018,>2010
"Fantasy, Animation, Comedy",zh,CN,2015-07-10,89,Monkey King: Hero Is Back,"Hengdian Chinese Film Production Co., Beijing Weiyingshidai Culture & Media, October Media, October Animation Studio, S&C Pictures, Shandong Film & TV Group",2015,>2010
"Family, Comedy, TV Movie, Fantasy",en,US,2013-03-15,60,The Wizards Return: Alex vs. Alex,"""Its a Laugh Productions""",2013,>2010
"Drama, Fantasy, Horror, Mystery",en,"BR, CA, GB, US",2015-01-27,92,The Witch,"Very Special Projects, Parts and Labor, RT Features, Rooks Nest Entertainment, Maiden Voyage Pictures, Pulse Films, Scythia Films, Code Red Productions, Mott Street Pictures",2015,>2010
"Comedy, Crime",en,US,2004-06-23,109,White Chicks,"Columbia Pictures, Revolution Studios, Wayans Bros. Entertainment, Gone North Productions",2004,2000-2010
"Drama, War",fr,"FR, US",2015-01-14,110,Far from Men,"One World Films, Pathé, Perceval Pictures, Kaléo Films, Jouror Développement",2015,>2010
Thriller,en,US,2015-08-26,103,No Escape,"Living Films, Bold Films, Brothers Dowdle Productions",2015,>2010
"Crime, Drama",it,"FR, IT",2014-09-18,103,Black Souls,"Cinemaundici, Babe Film",2014,>2010
"Comedy, Romance, Drama",en,US,2010-10-02,114,Life As We Know It,"Josephson Entertainment, Gold Circle Films",2010,>2010
"Drama, Thriller",pl,PL,2020-03-06,135,The Hater,"Canal+ Polska, K2studio, TVN, Naima Film, dFlights, Coloroffon",2020,>2010
Comedy,en,US,1979-12-14,94,The Jerk,"Universal Pictures, Aspen Film Society",1979,1970-1990
Drama,en,US,2011-07-18,87,Magic Beyond Words: The J.K. Rowling Story,"Media Max Productions, Lifetime",2011,>2010
"Science Fiction, Fantasy, Comedy",tr,TR,2008-12-05,127,A.R.O.G,CMYLMZ Fikirsanat,2008,2000-2010
"Animation, Action",ja,JP,1994-08-06,101,Street Fighter II: The Animated Movie,"Group TAC, CAPCOM, Sony Music Entertainment (Japan)",1994,1990-2000
"Family, Comedy",en,US,2016-10-07,92,Middle School: The Worst Years of My Life,"Lionsgate, CBS Films, Participant",2016,>2010
"Comedy, Music",fr,FR,2014-12-17,105,The Bélier Family,"uMedia, Jerico, Mars Films, France 2 Cinéma, Quarante 12 Films, Vendôme Production, Nexus Factory",2014,>2010
"Drama, Thriller",en,US,2003-01-16,127,Runaway Jury,"New Regency Pictures, Regency Enterprises, Epsilon Motion Pictures, 20th Century Fox",2003,2000-2010
"Comedy, Drama",en,US,1982-04-02,110,Diner,Metro-Goldwyn-Mayer,1982,1970-1990
"Drama, History",en,US,1953-09-16,135,The Robe,20th Century Fox,1953,1950-1970
"Science Fiction, Thriller",en,US,2017-08-30,7,2036: Nexus Dawn,"Alcon Entertainment, RSA Films, 3AM",2017,>2010
"Action, Adventure, Animation, Fantasy, Science Fiction",en,US,2009-07-28,75,Green Lantern: First Flight,"DC Comics, Warner Bros. Animation",2009,2000-2010
"Drama, Thriller, Crime",en,US,1950-07-27,96,Panic in the Streets,20th Century Fox,1950,1950-1970
"Drama, Music, Romance, Comedy",en,US,2021-03-26,94,A Week Away,"Monarch Media, Rove Productions",2021,>2010
"Family, Comedy",en,US,1976-04-07,102,The Bad News Bears,Paramount,1976,1970-1990
"Drama, TV Movie",en,"DE, US",1985-08-16,130,Death of a Salesman,"Punch Productions, Roxbury Productions, Neue Bioskop Film",1985,1970-1990
"Horror, Drama",en,US,1942-12-05,73,Cat People,RKO Radio Pictures,1942,<1950
"Comedy, Drama, Romance",en,US,1995-10-20,100,Now and Then,New Line Cinema,1995,1990-2000
"Drama, Fantasy, Romance",es,"MX, PT, ES",2002-08-30,151,The Virgin of Lust,"Mate Producciones S.A., Fondo para la Producción Cinematográfica de Calidad, Fado Filmes, Instituto Mexicano de Cinematografía",2002,2000-2010
"Drama, Comedy",en,GB,2004-08-01,18,Cashback,"Left Turn Films, Ugly Duckling Films, RSA Films",2004,2000-2010
"Animation, Science Fiction",ja,JP,1987-03-14,121,Royal Space Force - The Wings Of Honneamise,GAINAX,1987,1970-1990
"Action, Crime",en,"FR, GB, US",2005-02-02,103,Unleashed,"Canal+, Current Entertainment, Clubdeal, EuropaCorp, Qian Yian International, TF1 Films Production, Rogue Pictures, Danny the Dog Productions, Focus Features",2005,2000-2010
"Drama, Crime",de,"FR, DE, IT",2017-11-23,106,In the Fade,"Bombero International, Macassar Productions, Corazón International, Pathé, Warner Bros. Pictures, ARD, Dorje Film, Canal+, Ciné+, Warner Bros. Entertainment Germany, The Match Factory",2017,>2010
"History, Crime, Drama",en,US,2020-10-02,124,A Call to Spy,SMT Pictures,2020,>2010
"Animation, Family, Science Fiction",en,US,2017-02-01,72,Barbie Video Game Hero,Universal Pictures,2017,>2010
"Drama, Romance",en,US,2020-04-10,109,The Lost Husband,Six Foot Pictures,2020,>2010
"Adventure, Family",en,US,1960-12-21,126,Swiss Family Robinson,Walt Disney Productions,1960,1950-1970
"Family, Action, Drama, Romance, TV Movie",en,US,2014-01-17,90,Cloud 9,"Salty Pictures, Blondie Girl Productions",2014,>2010
"Family, Romance, Comedy",en,"GB, US",2020-11-19,97,The Princess Switch: Switched Again,"Motion Picture Corporation of America, Brad Krevoy Television",2020,>2010
"Animation, Family, Adventure, Fantasy, Action",ja,JP,1998-07-18,85,Pokémon: The First Movie,"OLM, Shogakukan Production, TV Tokyo, ""Pikachu Project 98"", Media Factory, Creatures, Nintendo, GAME FREAK, East Japan Marketing & Communications, Shogakukan, Tomy",1998,1990-2000
"Comedy, Drama, Romance",en,US,1987-09-02,100,Barfly,"Golan-Globus Productions, Cannon Group, American Zoetrope",1987,1970-1990
Drama,en,US,1984-05-11,137,The Natural,TriStar Pictures,1984,1970-1990
"Animation, Family",en,US,2014-02-13,78,Tinker Bell and the Pirate Fairy,DisneyToon Studios,2014,>2010
"Comedy, TV Movie",en,GB,2016-03-18,62,Jimmy Carr: Funny Business,,2016,>2010
"Drama, Romance",en,US,2014-02-12,103,Endless Love,"Bluegrass Films, Fake Empire Productions",2014,>2010
"Animation, Action, Comedy, Family, Science Fiction",en,US,2019-03-19,4,Spider-Ham: Caught in a Ham,"Sony Pictures Animation, Marvel Entertainment",2019,>2010
"Western, Drama, Thriller",en,US,1953-01-30,91,The Naked Spur,"Metro-Goldwyn-Mayer, ""Loews Incorporated""",1953,1950-1970
"TV Movie, Drama, Comedy",en,US,2012-02-28,118,Game Change,"Playtone, HBO Films",2012,>2010
Drama,en,US,2001-08-23,98,The Believer,"Seven Arts Pictures, Fuller Films",2001,2000-2010
"Drama, War",it,"DE, IT",1970-12-04,95,The Garden of the Finzi-Continis,"CCC-Filmkunst, Documento Film",1970,1970-1990
"Action, Adventure, Science Fiction",ja,JP,1999-12-11,107,Godzilla 2000: Millennium,Toho Pictures,1999,1990-2000
"Romance, Drama, Action, Adventure",en,"CA, US",2008-03-16,90,The Cutting Edge: Chasing the Dream,Metro-Goldwyn-Mayer,2008,2000-2010
"Animation, Comedy, Family, Fantasy",en,US,2018-06-28,97,Hotel Transylvania 3: Summer Vacation,"Columbia Pictures, Sony Pictures Animation",2018,>2010
"Fantasy, Comedy, Adventure",en,US,1999-11-12,130,Dogma,"View Askew Productions, STK Films, Lionsgate",1999,1990-2000
"Animation, Comedy, Science Fiction, TV Movie",en,US,2008-11-03,88,Futurama: Bender's Game,"The Curiosity Company, 20th Century Fox Television, Fox Television Animation",2008,2000-2010
"Drama, Comedy",en,GB,1983-06-16,110,Educating Rita,"Acorn Pictures, Columbia Pictures",1983,1970-1990
Comedy,en,US,2012-09-08,107,Much Ado About Nothing,Bellwether Pictures,2012,>2010
"Drama, Thriller, History, War",en,"DE, US",2008-12-25,121,Valkyrie,"United Artists, Bad Hat Harry Productions, Achte Babelsberg Film",2008,2000-2010
"Drama, History",en,"MA, US",1997-12-25,134,Kundun,"Touchstone Pictures, Dune Films",1997,1990-2000
"Comedy, Drama, Romance",en,"ES, US",1990-08-03,99,Metropolitan,"Allagash Films, Waverly Films, Producciones Kaplan S.L., Westerly Films",1990,1990-2000
"Action, Fantasy",en,US,1992-06-19,126,Batman Returns,Warner Bros. Pictures,1992,1990-2000
"Comedy, Drama",fr,FR,1993-04-06,96,Kitchen with Apartment,"Gaumont International, Gaumont, StudioCanal, EFVE",1993,1990-2000
"Drama, Adventure",en,GB,2018-04-06,121,Lean on Pete,"The Bureau, Film4 Productions, BFI Film Fund",2018,>2010
"Drama, Comedy",en,US,1978-05-26,120,Big Wednesday,"A-Team, Warner Bros. Pictures",1978,1970-1990
"Action, Animation, Science Fiction",ja,JP,1991-07-20,48,Dragon Ball Z: Cooler's Revenge,"Toei Animation, Toei Company",1991,1990-2000
"Action, Animation, Family",en,US,2016-01-15,75,Barbie: Spy Squad,Nickelodeon Productions,2016,>2010
"Adventure, Action, Comedy",it,"IT, US",1983-02-01,107,Go for It,"Laguna Productions, El Pico S.A.",1983,1970-1990
"Drama, Romance",en,US,1919-05-13,89,Broken Blossoms,"D.W. Griffith Productions, United Artists",1919,<1950
