genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
Comedy,it,IT,1980-12-01,86,My Wife is a Witch,Capital Film,1980,1970-1990
"Drama, Romance, Thriller, Western",en,US,2005-05-13,112,Down in the Valley,Class 5 Films,2005,2000-2010
"Action, Adventure, Comedy, Thriller",en,US,1998-04-24,91,The Big Hit,TriStar Pictures,1998,1990-2000
"Action, Thriller, Adventure",en,"IL, US",1986-02-14,129,The Delta Force,"Cannon Group, Golan-Globus Productions",1986,1970-1990
"Drama, Romance, War",en,"CA, GB",2004-04-29,121,Head in the Clouds,"Remstar Productions, Dakota Films, Spice Factory, Movision",2004,2000-2010
Action,en,CA,2016-06-14,114,Gridlocked,"High Star Entertainment, Hackybox Pictures, North Hollywood Films",2016,>2010
"Drama, Thriller",en,"BE, DE, GR, CH, GB",2023-03-09,105,Inside,"A Private View, Bord Cadre Films, Heretic, Schiwago Film, Sovereign Films, Focus Features, Bankside Films",2023,>2010
Comedy,en,IT,2007-11-23,99,Lessons in Chocolate,Cattleya,2007,2000-2010
"Comedy, Romance",en,US,2010-02-10,125,Valentine's Day,"Karz Entertainment, New Line Cinema, Rice Films, ESPN",2010,>2010
Comedy,fr,FR,2010-06-16,95,Fatal,"Légende Films, Universal Pictures, Studio 37, M6 Films, Canal+, W9, CinéCinéma, Kinology",2010,>2010
"Drama, Music",en,US,2018-09-07,114,Vox Lux,"Sierra/Affinity, Bold Films, Andrew Lauren Productions, Killer Films, Three Six Zero",2018,>2010
"Drama, Horror, Thriller",en,GB,2009-11-21,114,Heartless,"Matador Pictures, Isle of Man Film, CrossDay Productions, CinemaNX, May 13 Films, Cinema Two",2009,2000-2010
"Fantasy, Adventure, Family",en,US,2013-03-07,130,Oz the Great and Powerful,"Roth Films, Walt Disney Pictures",2013,>2010
Action,en,US,2004-12-28,91,Wake of Death,"Bauer Martinez Studios, UKFS, Frame Werk Produktion GmbH & Co. KG, The Tower Limited Liability Partnership, Lucky 7 Productions LLC, Blue Rider Pictures, LMCP Films, Royal Bank of Scotland, Sagewise",2004,2000-2010
"Fantasy, Action, Drama, Thriller",zh,"CN, HK, SG",2008-09-25,103,Painted Skin,"Golden Sun Films, Ningxia Film Studio, Shanghai Film Group",2008,2000-2010
"Crime, Horror, Mystery, Science Fiction",en,US,1976-10-22,91,God Told Me To,Larco Productions,1976,1970-1990
"Comedy, Fantasy",en,US,2000-11-10,90,Little Nicky,"Avery Pix, New Line Cinema, Happy Madison Productions, RSC Media, Robert Simonds Productions",2000,2000-2010
"Drama, Crime, Comedy",en,US,2015-12-04,127,Chi-Raq,"Amazon Studios, 40 Acres and a Mule Filmworks",2015,>2010
"Thriller, Adventure, Mystery, Fantasy, Horror, Science Fiction",ru,"GB, DE, RU, UA, CZ",2014-01-30,128,Forbidden Empire,"Russian Film Group, Marinsgroup",2014,>2010
"Drama, Romance",en,"CA, US",2004-11-12,96,Noel,"The Convex Group, Neverland Films, Code Entertainment, Red Rose Productions",2004,2000-2010
"Crime, Drama, Romance",en,US,1972-06-14,88,Boxcar Bertha,American International Pictures,1972,1970-1990
